"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"CAL_ign_limit_first_gear_manual","40009412","Data Label","Global","User Defined","1","0"
"CAL_idle_comp_baro2_X_ambiant_baro","4000941a","Data Label","Global","User Defined","1","0"
"CAL_idle_comp_baro2","4000942a","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_decrement_by_rpm_X_rpm","4000945a","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_decrement_by_rpm","40009462","Data Label","Global","User Defined","1","0"
"CAL_load_tps_max_X_rpm","40009482","Data Label","Global","User Defined","1","0"
"CAL_load_tps_max","40009492","Data Label","Global","User Defined","1","0"
"CAL_injtip_dfco_enable_rpm_ips_default_X_coolant","400094b2","Data Label","Global","User Defined","1","0"
"CAL_injtip_dfco_enable_rpm_ips_default","400094b6","Data Label","Global","User Defined","1","0"
"CAL_inj_efficiency_X_engine_speed","400095fa","Data Label","Global","User Defined","1","0"
"CAL_inj_efficiency_Y_engine_load","4000960e","Data Label","Global","User Defined","1","0"
"CAL_inj_efficiency","40009622","Data Label","Global","User Defined","1","0"
"CAL_load_to_tps_max_X_engine_speed","400097b2","Data Label","Global","User Defined","9","0"
"CAL_load_to_tps_max_Y_load","400097c6","Data Label","Global","User Defined","6","0"
"CAL_load_to_tps_max","400097da","Data Label","Global","User Defined","6","0"
"CAL_idle_target_manual_sport_X_coolant_temp","40009a3a","Data Label","Global","User Defined","2","0"
"CAL_idle_target_manual_sport","40009a4a","Data Label","Global","User Defined","2","0"
"CAL_vvt_exhaust_advance_base_X_engine_speed","40009a7a","Data Label","Global","User Defined","2","0"
"CAL_vvt_exhaust_advance_base_Y_load","40009a8a","Data Label","Global","User Defined","2","0"
"CAL_vvt_exhaust_advance_base","40009a9a","Data Label","Global","User Defined","2","0"
"CAL_cluster_gear_lookup_manual","40009b9a","Data Label","Global","User Defined","1","0"
"CAL_load_reference_charge_X_rpm","40009baa","Data Label","Global","User Defined","1","0"
"CAL_load_reference_charge","40009bba","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_increment_tour_X_tps_diff","40009bca","Data Label","Global","User Defined","1","0"
"CAL_tpssmooth_increment_tour","40009bd2","Data Label","Global","User Defined","1","0"
"CAL_load_unused1_X_rpm","40009bda","Data Label","Global","User Defined","1","0"
"CAL_load_unused1","40009bea","Data Label","Global","User Defined","1","0"
"CAL_inj_enrichment_factor_load_n_coolant_manual_X_load","40009bfa","Data Label","Global","User Defined","1","0"
"CAL_inj_enrichment_factor_load_n_coolant_manual_Y_coolant","40009c06","Data Label","Global","User Defined","1","0"
"CAL_inj_enrichment_factor_load_n_coolant_manual","40009c16","Data Label","Global","User Defined","1","0"
"CAL_torque_engine_ac_load_scaler_X_engine_speed","40009cd6","Data Label","Global","User Defined","1","0"
"CAL_torque_engine_ac_load_scaler","40009cde","Data Label","Global","User Defined","1","0"
"CAL_ecu_engine_speed_target_sport_X_pps","40009ce6","Data Label","Global","User Defined","1","0"
"CAL_ecu_engine_speed_target_sport","40009cfa","Data Label","Global","User Defined","1","0"
"CAL_torque_limit_by_coolant_X_coolant","40009d0e","Data Label","Global","User Defined","1","0"
"CAL_torque_limit_by_coolant","40009d12","Data Label","Global","User Defined","1","0"
"CAL_inj_comp_air_temp2_X_load","40009d1a","Data Label","Global","User Defined","2","0"
"CAL_inj_comp_air_temp2_Y_air_temp","40009d22","Data Label","Global","User Defined","2","0"
"CAL_inj_comp_air_temp2","40009d32","Data Label","Global","User Defined","2","0"
"CAL_idle_comp_tps_while_cranking_X_baro","40009dd2","Data Label","Global","User Defined","1","0"
"CAL_idle_comp_tps_while_cranking_Y_coolant_temp","40009dd6","Data Label","Global","User Defined","1","0"
"CAL_idle_comp_tps_while_cranking","40009de6","Data Label","Global","User Defined","1","0"
"CAL_knock_inhibit_tps_max_X_rpm","40009e2a","Data Label","Global","User Defined","1","0"
