"Name","Location","Type","Data Type","EOL Comment"
"CAL_revlimit_flow_unknown2","40008895","Data Label","u8_mass_g","Calibration: rev-limit flow unknown2 (g)."
"CAL_revlimit_maf_error_max_10g","40008896","Data Label","uint8_t","Calibration: rev-limit MAF error maximum 10g."
"CAL_revlimit_integrator_limit","40008897","Data Label","u8_factor_1/100","Calibration: rev-limit integrator limit (val/100)."
"CAL_revlimit_rpm_rate_limit","40008898","Data Label","u8_rspeed_25rpm","Calibration: rev-limit RPM rate limit (RPM = val*25)."
"CAL_roughness_enable_rpm","4000889a","Data Label","u16_rspeed_1/4rpm[2]","Calibration: roughness enable RPM (RPM = val/4; 2-element array)."
"CAL_roughness_enable_load","4000889e","Data Label","u8_load_4mg/stroke[2]","Calibration: roughness enable load (mg/stroke = val*4; 2-element array)."
"CAL_roughness_delta_rpm_smoothing_factor","400088a2","Data Label","u8_factor_1/100","Calibration: roughness delta RPM smoothing factor (val/100)."
"CAL_roughness_cycle_count_threshold","400088a4","Data Label","u8_count","Calibration: roughness cycle count threshold."
"CAL_roughness_peak_valley_imblance_threshold","400088a7","Data Label","u8_count","Calibration: roughness peak valley imblance threshold."
"CAL_roughness_ign_adv_min_sign_flipped","400088aa","Data Label","u8_angle_1/4deg","Calibration: roughness ignition adv minimum sign flipped (° = val/4)."
"CAL_roughness_ign_adv_max","400088ab","Data Label","u8_angle_1/4deg","Calibration: roughness ignition adv maximum (° = val/4)."
"CAL_wheel_speed_front_dvdt_scaling","400088ad","Data Label","u8_factor_1/255","Calibration: wheel speed front dvdt scaling (val/255)."
"CAL_ecu_wheelspeed_update_timer","400088ae","Data Label","u8_time_5ms","Calibration: ECU wheelspeed update timer (ms = val*5)."
"CAL_revlimit_throttle_clamp","400088b1","Data Label","bool","Calibration: rev-limit throttle clamp (boolean flag)."
"CAL_revlimit_overspeed_time","400088b3","Data Label","u8_time_100ms","Calibration: rev-limit overspeed time (ms = val*100)."
"CAL_revlimit_max_with_speedlimit","400088b4","Data Label","u16_rspeed_rpm","Calibration: rev-limit maximum with speedlimit (RPM)."
"CAL_vehicle_speed_limit","400088b6","Data Label","u8_speed_kph","Calibration: vehicle speed limit (km/h)."
"CAL_revlimit_overrun_count_threshold","400088b7","Data Label","u8_count","Calibration: rev-limit overrun count threshold."
"CAL_vehicle_speed_limit_enforce","400088b8","Data Label","bool","Calibration: vehicle speed limit enforce (boolean flag)."
"CAL_vehicle_speed_limit_enforce_margin","400088b9","Data Label","uint8_t","Calibration: vehicle speed limit enforce margin."
"CAL_vehicle_standing_start_throttle_threshold","400088ba","Data Label","u16_factor_1/1023","Calibration: vehicle standing start throttle threshold (val/1023)."
"CAL_cruise_tps_accelerating_threshold","400088bf","Data Label","u8_factor_1/1023","Calibration: cruise throttle position accelerating threshold (val/1023)."
"CAL_cluster_brake_switch_max_speed_ips_unknown","400088c0","Data Label","u8_speed_kph","Calibration: cluster brake switch maximum speed IPS (km/h)."
"CAL_tps_brake_wheeldecel_tps_cut_threshold","400088d8","Data Label","uint8_t","Calibration: throttle position brake wheeldecel throttle position cut threshold."
"CAL_tps_brake_safety_floor","400088d9","Data Label","u8_factor_1/1023","Calibration: throttle position brake safety floor (val/1023)."
"CAL_cruise_brake_cancel_time","400088de","Data Label","u16_time_10ms","Calibration: cruise brake cancel time (ms = val*10)."
"CAL_knock_agc_scaling_threshold","400088e0","Data Label","uint16_t","Calibration: knock AGC scaling threshold."
"CAL_knock_mode","400088e2","Data Label","enum_knock_mode","Calibration: knock mode (enumerated state)."
"CAL_dca_enable_untested","400088e3","Data Label","bool","Drive Cycle Assist is a disabled throttle control mechanism in the T6E firmware. It has not been tested in the aftermarket and requires a special VIN in addition to this flag for activation. As of now\, there is no reason to change it. The current theory is that it is solely for emissions testing."
"CAL_vvt_low_load_disable","400088e5","Data Label","bool","Calibration: VVT low load disable (boolean flag)."
"CAL_obd_ii_diag_unknown","400088e6","Data Label","uint8_t","Calibration: OBD-II diag."
"CAL_vvt_low_load_map_enable_temp","400088e7","Data Label","u8_temp_5/8-40c","Calibration: VVT low load MAP enable temperature (°C = val*5/8−40)."
"CAL_tpssmooth_accel_pedal_modes_enable","400088e9","Data Label","bool","Calibration: tpssmooth accelerator pedal modes enable (boolean flag)."
"CAL_oil_pressure_warning_light_mode","400088ea","Data Label","enum_oil_pressure_sensor_mode","Calibration: oil pressure warning light mode (enumerated state)."
"CAL_tpstarget_pedalmap_low_gear_threshold","400088eb","Data Label","u8_gear","Calibration: tpstarget pedalmap low gear threshold."
"CAL_logger_high_speed_logger_enable","400088ec","Data Label","uint8_t","To enable the built-in highspeed data logger\, set this configuration option.

0: disabled (factory defatult)
1: FlexCAN A logging
2: FlexCAN C logging"
"CAL_tpssmooth_parking_threshold_tps","400088ed","Data Label","u8_factor_1/255","Calibration: tpssmooth parking threshold throttle position (val/255)."
"CAL_tpssmooth_parking_threshold_carspeed","400088ee","Data Label","u8_speed_kph","Calibration: tpssmooth parking threshold carspeed (km/h)."
"CAL_tpssmooth_parking_threshold_gear","400088ef","Data Label","u8_gear","Calibration: tpssmooth parking threshold gear."
"CAL_revlimit_startup_delay","400088f0","Data Label","u8_time_250ms","Calibration: rev-limit startup delay (ms = val*250)."
